,congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
0,80,house,M000112,Joseph,Jefferson,Mansfield,,1861-02-09,TX,D,Yes,1947-01-03,85.9
1,80,house,D000448,Robert,Lee,Doughton,,1863-11-07,NC,D,Yes,1947-01-03,83.2
2,80,house,S000001,Adolph,Joachim,Sabath,,1866-04-04,IL,D,Yes,1947-01-03,80.7
3,80,house,E000023,Charles,Aubrey,Eaton,,1868-03-29,NJ,R,Yes,1947-01-03,78.8
4,80,house,L000296,William,,Lewis,,1868-09-22,KY,R,No,1947-01-03,78.3
5,80,house,G000017,James,A.,Gallagher,,1869-01-16,PA,R,No,1947-01-03,78.0
6,80,house,W000265,Richard,Joseph,Welch,,1869-02-13,CA,R,Yes,1947-01-03,77.9
7,80,house,B000565,Sol,,Bloom,,1870-03-09,NY,D,Yes,1947-01-03,76.8
8,80,house,H000943,Merlin,,Hull,,1870-12-18,WI,R,Yes,1947-01-03,76.0
9,80,house,G000169,Charles,Laceille,Gifford,,1871-03-15,MA,R,Yes,1947-01-03,75.8
10,80,house,B000545,Schuyler,Otis,Bland,,1872-05-04,VA,D,Yes,1947-01-03,74.7
11,80,house,R000358,John,Marshall,Robsion,,1873-01-02,KY,R,Yes,1947-01-03,74.0
12,80,house,L000501,Louis,Leon,Ludlow,,1873-06-24,IN,D,Yes,1947-01-03,73.5
13,80,house,K000138,John,Hosea,Kerr,,1873-12-31,NC,D,Yes,1947-01-03,73.0
14,80,house,C000932,Robert,,Crosser,,1874-06-07,OH,D,Yes,1947-01-03,72.6
15,80,house,L000163,Clarence,Frederick,Lea,,1874-07-11,CA,D,Yes,1947-01-03,72.5
16,80,house,K000039,John,,Kee,,1874-08-22,WV,D,Yes,1947-01-03,72.4
17,80,house,S000717,Brent,,Spence,,1874-12-24,KY,D,Yes,1947-01-03,72.0
18,80,house,A000257,Homer,Daniel,Angell,,1875-01-12,OR,R,Yes,1947-01-03,72.0
19,80,house,N000153,Mary,Teresa,Norton,,1875-03-07,NJ,D,Yes,1947-01-03,71.8
20,80,house,P000395,Charles,Albert,Plumley,,1875-04-14,VT,R,Yes,1947-01-03,71.7
21,80,house,D000496,Patrick,Henry,Drewry,,1875-05-24,VA,D,Yes,1947-01-03,71.6
22,80,house,H000683,Clare,Eugene,Hoffman,,1875-09-10,MI,R,Yes,1947-01-03,71.3
23,80,house,R000113,Daniel,Alden,Reed,,1875-09-15,NY,R,Yes,1947-01-03,71.3
24,80,house,B001214,William,Thomas,Byrne,,1876-03-06,NY,D,Yes,1947-01-03,70.8
25,80,house,W000718,Roy,Orchard,Woodruff,,1876-03-14,MI,R,Yes,1947-01-03,70.8
26,80,house,B000515,William,Wallace,Blackney,,1876-08-28,MI,R,Yes,1947-01-03,70.3
27,80,house,M000693,Earl,Cory,Michener,,1876-11-30,MI,R,Yes,1947-01-03,70.1
28,80,house,C000590,Howard,Aldridge,Coffin,,1877-06-11,MI,R,No,1947-01-03,69.6
29,80,house,M000374,Edward,Oscar,McCowen,,1877-06-29,OH,R,Yes,1947-01-03,69.5
30,80,house,W000012,James,Wolcott,Wadsworth,Jr.,1877-08-12,NY,R,Yes,1947-01-03,69.4
31,80,house,O000016,Thomas,Joseph,O'Brien,,1878-04-30,IL,D,Yes,1947-01-03,68.7
32,80,house,W000430,William,Madison,Whittington,,1878-05-04,MS,D,Yes,1947-01-03,68.7
33,80,house,L000238,William,,Lemke,,1878-08-13,ND,R,Yes,1947-01-03,68.4
34,80,house,D000212,John,Joseph,Delaney,,1878-08-21,NY,D,Yes,1947-01-03,68.4
35,80,house,J000117,Anton,Joseph,Johnson,,1878-10-20,IL,R,Yes,1947-01-03,68.2
36,80,house,C000117,Clarence,Andrew,Cannon,,1879-04-11,MO,D,Yes,1947-01-03,67.7
37,80,house,T000189,Robert,Ewing,Thomason,,1879-05-30,TX,D,Yes,1947-01-03,67.6
38,80,house,A000296,Samuel,Washington,Arnold,,1879-09-21,MO,R,Yes,1947-01-03,67.3
39,80,house,B000940,Paul,,Brown,,1880-03-31,GA,D,Yes,1947-01-03,66.8
40,80,house,C000831,Edward,Eugene,Cox,,1880-04-03,GA,D,Yes,1947-01-03,66.7
41,80,house,T000001,John,,Taber,,1880-05-05,NY,R,Yes,1947-01-03,66.7
42,80,house,J000096,John,,Jennings,Jr.,1880-06-06,TN,R,Yes,1947-01-03,66.6
43,80,house,G000206,Wilson,Darwin,Gillette,,1880-07-01,PA,R,Yes,1947-01-03,66.5
44,80,house,G000360,Louis,Edward,Graham,,1880-08-04,PA,R,Yes,1947-01-03,66.4
45,80,house,G000207,George,W.,Gillie,,1880-08-15,IN,R,Yes,1947-01-03,66.4
46,80,house,M000574,Rolla,Coral,McMillen,,1880-10-05,IL,R,Yes,1947-01-03,66.2
47,80,house,K000301,Harold,,Knutson,,1880-10-20,MN,R,Yes,1947-01-03,66.2
48,80,house,W000683,Charles,Anderson,Wolverton,,1880-10-24,NJ,R,Yes,1947-01-03,66.2
49,80,house,J000088,Thomas,Albert,Jenkins,,1880-10-28,OH,R,Yes,1947-01-03,66.2
50,80,house,F000241,John,Hamlin,Folger,,1880-12-18,NC,D,Yes,1947-01-03,66.0
51,80,house,Z000009,Orville,,Zimmerman,,1880-12-31,MO,D,Yes,1947-01-03,66.0
52,80,house,G000297,Angier,Louis,Goodwin,,1881-01-30,MA,R,Yes,1947-01-03,65.9
53,80,house,V000125,Charles,Wesley,Vursell,,1881-02-08,IL,R,Yes,1947-01-03,65.9
54,80,house,R000392,Edith,Nourse,Rogers,,1881-03-19,MA,R,Yes,1947-01-03,65.8
55,80,house,B001096,Raymond,Hugh,Burke,,1881-11-04,OH,R,No,1947-01-03,65.2
56,80,house,R000082,Samuel,Taliaferro,Rayburn,,1882-01-06,TX,D,Yes,1947-01-03,65.0
57,80,house,N000135,Fred,Barthold,Norman,,1882-03-21,WA,R,No,1947-01-03,64.8
58,80,house,R000056,John,Elliott,Rankin,,1882-03-29,MS,D,Yes,1947-01-03,64.8
59,80,house,C000439,Jerome,Bayard,Clark,,1882-04-05,NC,D,Yes,1947-01-03,64.7
60,80,house,S000755,Raymond,Smiley,Springer,,1882-04-26,IN,R,Yes,1947-01-03,64.7
61,80,house,M000224,Noah,Morgan,Mason,,1882-07-19,IL,R,Yes,1947-01-03,64.5
62,80,house,H000356,Franck,Roberts,Havenner,,1882-09-20,CA,D,Yes,1947-01-03,64.3
63,80,house,S000554,Howard,Worth,Smith,,1883-02-02,VA,D,Yes,1947-01-03,63.9
64,80,house,B001056,Alfred,Lee,Bulwinkle,,1883-04-21,NC,D,Yes,1947-01-03,63.7
65,80,house,C000390,Ralph,Edwin,Church,,1883-05-05,IL,R,Yes,1947-01-03,63.7
66,80,house,R000209,Robert,Fleming,Rich,,1883-06-23,PA,R,Yes,1947-01-03,63.5
67,80,house,K000058,Augustine,Bernard,Kelley,,1883-07-09,PA,D,Yes,1947-01-03,63.5
68,80,house,V000105,Carl,,Vinson,,1883-11-18,GA,D,Yes,1947-01-03,63.1
69,80,house,D000411,George,Anthony,Dondero,,1883-12-16,MI,R,Yes,1947-01-03,63.0
70,80,house,C000268,E.,Wallace,Chadwick,,1884-01-17,PA,R,No,1947-01-03,63.0
71,80,house,S000845,Karl,,Stefan,,1884-03-01,NE,R,Yes,1947-01-03,62.8
72,80,house,G000541,Ralph,Waldo,Gwinn,,1884-03-29,NY,R,Yes,1947-01-03,62.8
73,80,house,J000264,Bartel,John,Jonkman,,1884-04-28,MI,R,Yes,1947-01-03,62.7
74,80,house,B000750,Willis,Winter,Bradley,,1884-06-28,CA,R,No,1947-01-03,62.5
75,80,house,S000536,Frederick,Cleveland,Smith,,1884-07-29,OH,R,Yes,1947-01-03,62.4
76,80,house,J000224,Hamilton,Chamberlain,Jones,,1884-09-26,NC,D,No,1947-01-03,62.3
77,80,house,M000191,Joseph,William,Martin,Jr.,1884-11-03,MA,R,Yes,1947-01-03,62.2
78,80,house,L000251,John,,Lesinski,,1885-01-03,MI,D,Yes,1947-01-03,62.0
79,80,house,S000335,Harry,Richard,Sheppard,,1885-01-10,CA,D,Yes,1947-01-03,62.0
80,80,house,B000332,Charles,Jasper,Bell,,1885-01-16,MO,D,Yes,1947-01-03,62.0
81,80,house,A000227,James,Coats,Auchincloss,,1885-01-19,NJ,R,Yes,1947-01-03,62.0
82,80,house,W000699,John,Stephens,Wood,,1885-02-08,GA,D,Yes,1947-01-03,61.9
83,80,house,F000191,John,William,Flannagan,Jr.,1885-02-20,VA,D,Yes,1947-01-03,61.9
84,80,house,B000725,Frank,William,Boykin,,1885-02-21,AL,D,Yes,1947-01-03,61.9
85,80,house,B000607,Frances,Payne,Bolton,,1885-03-29,OH,R,Yes,1947-01-03,61.8
86,80,house,M001081,John,Robert,Murdock,,1885-04-20,AZ,D,Yes,1947-01-03,61.7
87,80,house,G000031,Ralph,Abernethy,Gamble,,1885-05-06,NY,R,Yes,1947-01-03,61.7
88,80,house,T000263,Harve,,Tibbott,,1885-05-27,PA,R,Yes,1947-01-03,61.6
89,80,house,C000515,Cliff,,Clevenger,,1885-08-20,OH,R,Yes,1947-01-03,61.4
90,80,house,S000029,John,Carfield,Sanborn,,1885-09-28,ID,R,No,1947-01-03,61.3
91,80,house,C000529,Roy,,Clippinger,,1886-01-13,IL,R,Yes,1947-01-03,61.0
92,80,house,H000613,William,Silas,Hill,,1886-01-20,CO,R,Yes,1947-01-03,61.0
93,80,house,R000369,Robert,Fay,Rockwell,,1886-02-11,CO,R,Yes,1947-01-03,60.9
94,80,house,D000158,William,Levi,Dawson,,1886-04-26,IL,D,Yes,1947-01-03,60.7
95,80,house,R000132,Edward,Herbert,Rees,,1886-06-03,KS,R,Yes,1947-01-03,60.6
96,80,house,S000155,George,Blaine,Schwabe,,1886-07-26,OK,R,Yes,1947-01-03,60.4
97,80,house,R000391,Dwight,Laing,Rogers,,1886-08-17,FL,D,Yes,1947-01-03,60.4
98,80,house,M000680,Herbert,Alton,Meyer,,1886-08-30,KS,R,No,1947-01-03,60.3
99,80,house,G000332,Martin,,Gorski,,1886-10-30,IL,D,Yes,1947-01-03,60.2
100,80,house,K000244,Michael,Joseph,Kirwan,,1886-12-02,OH,D,Yes,1947-01-03,60.1
101,80,house,B001148,Clarence,Godber,Burton,,1886-12-14,VA,D,No,1947-01-03,60.1
102,80,house,L000279,Earl,Ramage,Lewis,,1887-02-22,OH,R,Yes,1947-01-03,59.9
103,80,house,L000157,Karl,Miles,Le Compte,,1887-05-25,IA,R,Yes,1947-01-03,59.6
104,80,house,B001179,John,Cornelius,Butler,,1887-07-02,NY,R,Yes,1947-01-03,59.5
105,80,house,E000135,Hubert,Summers,Ellis,,1887-07-06,WV,R,Yes,1947-01-03,59.5
106,80,house,J000165,Noble,Jacob,Johnson,,1887-08-23,IN,R,Yes,1947-01-03,59.4
107,80,house,P000309,John,,Phillips,,1887-09-11,CA,R,Yes,1947-01-03,59.3
